View Details,View Details
More..,More..
Menu Item Manager,Menu Item Manager
Add Item,Add Item
Title,Title
Category,Category
Store View,Store View
Type,Type
Order,Order
Column,Column
Product SKU,Product SKU
Edit Content '%s',Edit Content '%s'
Position,Position
Menu item,Menu item
Block,Block
Content Information,Content Information
Contents Manager,Contents Manager
Add Content,Add Content
Edit Item '%s',Edit Item '%s'
--------------
UPDATED 1.2.6
--------------
Menu Category Manager,Menu Category Manager
Category Title,Category Title
# of Columns,# of Columns
Menu Category Information,Menu Category Information
Category Title,Category Title
URL for Title,URL for Title
Order of Category on Menu,Order of Category on Menu
Display Option,Display Option
Show subcategories only,Show subcategories only
# of Columns on Expanded Menu,# of Columns on Expanded Menu
Enable and Save Item to Activate,Enable and Save Item to Activate
Manage Menu Contents,Manage Menu Contents
Menu Contents Manager,Menu Contents Manager
Content Name,Content Name
Position,Position
Content Title,Content Title
Menu Content Name,Menu Content Name
Position of Content,Position of Content
Menu Category Title,Menu Category Title
1000 = 1s,1000 = 1s
Content Title,Content Title  
Text,Text
Product SKU,Product SKU  
Block,Block
Status,Status
To be shown beneath Title,To be shown beneath Title
name,Name
Enable Mega Menu,Enable Mega Menu
Top Menu animation effect:,Top Menu animation effect
Top Menu animation speed:,Top Menu animation speed:
Vertical Menu animation effect:,Vertical Menu animation effect:
Vertical Menu animation speed:,Vertical Menu animation speed
fast,fast
slow,slow
Maximum # of subcategories,Maximum # of subcategories
Show ‘more’ option,Show ‘more’ option
Maximum # of products to list,Maximum # of products to list
Show 'more' option,Show 'more' option
Maximum # of characters for SKU description,Maximum # of characters for SKU description
Top Menu (Horizontal),Top Menu (Horizontal)
Which store view is active?,Which store view is active?
Manage Menu Categories,Manage Menu Categories
Menu Category Manager,Manage Menu Categories
Category,Category
Store View *,Store View *
Content Information,Content Information
Add Content,Add Content
Display Top Menu (Horizontal),Display Top Menu (Horizontal)
Menu Content Title,Menu Content Title
Content Text,Content Text
Display Vertical Menu,Display Vertical Menu
Show 'more' option when more than maximum # of subcategories exist,Show 'more' option when more than maximum # of subcategories exist
Show 'more' option when more than maximum # of products exist,Show 'more' option when more than maximum # of products exist
